"ID","Canonical_ID"
"UCD___CLA 010",945
"UCD___CLA 010Y",946
"UCD___CLA 015",947
"UCD___CLA 020",948
"UCD___CLA 025",949
"UCD___CLA 030",950
"UCD___CLA 030F",951
"UCD___CLA 030V",952
"UCD___CLA 030Y",953
"UCD___CLA 031",954
"UCD___CLA 035",955
"UCD___CLA 036V",956
"UCD___CLA 040",957
"UCD___CLA 045",958
"UCD___CLA 050",959
"UCD___CLA 051",960
"UCD___CLA 060",961
"UCD___CLA 100A",962
"UCD___CLA 100B",963
"UCD___CLA 101A",964
"UCD___CLA 101B",965
"UCD___CLA 101C",966
"UCD___CLA 101D",967
"UCD___CLA 101E",968
"UCD___CLA 102",969
"UCD___CLA 103",970
"UCD___CLA 104",971
"UCD___CLA 105",972
"UCD___CLA 106",973
"UCD___CLA 110",974
"UCD___CLA 111",975
"UCD___CLA 120",976
"UCD___CLA 125",977
"UCD___CLA 140",978
"UCD___CLA 141",979
"UCD___CLA 142",980
"UCD___CLA 143",981
"UCD___CLA 150",982
"UCD___CLA 156",983
"UCD___CLA 160",984
"UCD___CLA 170",985
"UCD___CLA 171",986
"UCD___CLA 172A",383
"UCD___CLA 172B",384
"UCD___CLA 173",385
"UCD___CLA 174",987
"UCD___CLA 175",386
"UCD___CLA 176",988
"UCD___CLA 180",989
"UCD___CLA 190",990
"UCD___CLA 194HA",991
"UCD___CLA 194HB",992
"UCD___CGS 001",993
"UCD___CGS 107",994
"UCD___CGS 134",995
"UCD___CGS 138",996
"UCD___CGS 190",997
"UCD___CGS 194HA",998
"UCD___CGS 194HB",999
"UCD___CMN 001",1000
"UCD___CMN 001V",1001
"UCD___CMN 003",1002
"UCD___CMN 003V",1003
"UCD___CMN 003Y",1004
"UCD___CMN 005",1005
"UCD___CMN 010V",1006
"UCD___CMN 010Y",1007
"UCD___CMN 012Y",1008
"UCD___CMN 101",1009
"UCD___CMN 101V",1010
"UCD___CMN 101Y",1011
"UCD___CMN 102",1012
"UCD___CMN 102V",1013
"UCD___CMN 110",1014
"UCD___CMN 111",1015
"UCD___CMN 112",1016
"UCD___CMN 114",1017
"UCD___CMN 120",1018
"UCD___CMN 120V",1019
"UCD___CMN 121",1020
"UCD___CMN 122",1021
"UCD___CMN 123",1022
"UCD___CMN 124",1023
"UCD___CMN 130",1024
"UCD___CMN 131",1025
"UCD___CMN 131V",1026
"UCD___CMN 132",1027
"UCD___CMN 136",1028
"UCD___CMN 136V",1029
"UCD___CMN 140",1030
"UCD___CMN 141",1031
"UCD___CMN 142",1032
"UCD___CMN 143",1033
